,Address,Locality,Price,Beds,Area,Full Baths,Half Baths,Lot Size
0,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
1,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",4,,4,,0.21 Acres
2,600 Talladega,"Rock Springs, WY 82901","$396,900",5,"3,154",3,,
3,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,"3,076",3,1,"Under 1/2 Acre, "
4,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,"1,172",3,,"Under 1/2 Acre, "
5,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,"1,932",2,,0.27 Acres
6,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,"1,676",3,,"Under 1/2 Acre, "
7,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,"1,344",2,,"Under 1/2 Acre, "
8,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,"1,920",2,,"Under 1/2 Acre, "
9,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,"1,664",2,,2.02 Acres
0,9339 Sd 26900,"Rocksprings, TX 78880","$1,700,000",,"2,560",,,
1,RR674P13 Hwy 377,"Rocksprings, TX 78880","$1,100,000",,"2,000",,,
2,0 Hwy 41,"Rocksprings, TX 78880","$1,080,000",,,,,
3,9339 Sd 26900,"Rocksprings, TX 78880","$908,350",,"2,560",,,
4,CR450 Hwy 377,"Rocksprings, TX 78880","$905,000",,,,,
5,Cr 240 Cr 240,"Rocksprings, TX 78880","$695,000",,"1,398",,,
6,RR674 Hwy 377,"Rocksprings, TX 78880","$605,000",,"1,738",,,
7,9770a Sd 26900,"Rocksprings, TX 78880","$559,805",,"1,080",,,
8,Lot17 CR 2630,"Rocksprings, TX 78880","$504,000",,,,,
9,"Tr12,16 CR 520","Rocksprings, TX 78880","$410,000",,,,,
0,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324","$299,900",3,"2,318",2,,
1,32750 S Shangrila Drive,"Black Canyon City, AZ 85324","$167,500",3,"2,120",2,,
2,0000 Black Canyon Highway,"Black Canyon City, AZ 85324","$150,000",,,,,5 Acres
3,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324","$129,500",3,"1,220",2,,
4,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324","$129,000",4,"2,000",2,,
5,34263 S Bertha Street,"Black Canyon City, AZ 85324","$80,000",5,"2,260",2,,
6,33160 S Canyon Road,"Black Canyon City, AZ 85324","$77,900",3,"1,248",2,,
7,19421 E Todd Evans Road,"Black Canyon City, AZ 85324","$70,500",3,"1,404",2,,
8,18688 E AGUA Vista,"Black Canyon City, AZ 85324","$70,000",,,,,0.7 Acres
9,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324","$67,500",,,,,3 Acres
10,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324","$54,900",,,,,
11,33259 S Canyon Road,"Black Canyon City, AZ 85324","$45,600",3,"1,056",1,,
12,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324","$40,000",2,784,1,,Under 1/2 Acre
13,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324","$30,000",,,,,2.35 Acres
14,19000 E MAREN Avenue,"Black Canyon City, AZ 85324","$29,000",,,,,2.05 Acres
15,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324","$28,995",,,,,0.73 Acres
16,20650 E Amethyst Place,"Black Canyon City, AZ 85324","$15,000",,,,,0.31 Acres
